celltype,gene,deg,eff,sens,trans,eigenvec_centr,closeness_centr
Fib,CPEB1,1,2.9867645672705616,67.22268930396547,0,4.6124444753681677e-7,0.10080645161290322
Fib,XPNPEP2,2,4.073005837370035,63.84077404289525,0,0.000002821895150634862,0.11198208286674133
Fib,FAIM2,1,3.726854415331507,60.58696481759906,0,0.0000027465038164543084,0.11173184357541899
Fib,NEGR1,3,5.378070116366858,57.337433113416225,0,0.000016803119998396926,0.12562814070351758
Fib,GRIA4,1,4.144776675478948,48.34202941094499,0,0.00001589295396875081,0.12468827930174564
Fib,NLGN1,3,6.461990750747772,45.38617229127872,0,0.00009723314821796276,0.1422475106685633
Fib,RCAN2,2,6.98219550869431,30.088667558951236,0,0.0005621766684425773,0.16286644951140064
Fib,ZNF385B,2,7.192736782579096,16.301749996976753,0,0.003342165684426718,0.18975332068311196
Fib,ABCA9,1,1.0819727676455888,6.484204869633362,0,0.00014548582687363471,0.1375515818431912
Fib,ZBTB16,2,6.568677869757334,5.847113845261409,0,0.01988520473101579,0.22624434389140272
Fib,ABCA6,2,2.1463114227842537,5.5689086358607875,0,0.0008900827999528954,0.1592356687898089
Fib,SVEP1,1,1.4436278909931928,4.908314134923172,0,0.0008663028484447831,0.15873015873015872
Fib,AKR1C1,1,0.849831763837107,4.126768452151175,0,0.00022289735307915243,0.1466275659824047
Fib,ABCA8,3,4.128767925130535,4.007615268755451,0,0.005300043870394166,0.18832391713747645
Fib,COLEC11,1,1.006448136966973,3.7527747652406918,0,0.0020204928816262564,0.16611295681063123
Fib,AKR1C2,2,1.669608587809761,3.3866269415279406,0,0.001363686789250548,0.17152658662092624
Fib,ITIH5,1,0.8941539566894867,3.380612730637309,0,0.013408014226953664,0.1893939393939394
Fib,ABI3BP,1,0.7016114110955315,3.162774925429231,0,0.0006758418093501321,0.1592356687898089
Fib,F10,3,2.4471516106265674,3.0666897675174725,0.3333333333333333,0.012361382548450749,0.1988071570576541
Fib,SLITRK6,1,0.8313656888778386,2.9865386300629386,0,0.01354362695970114,0.2079002079002079
Fib,PROS1,2,2.077366332628024,2.914875795030382,1,0.012077525863378607,0.1984126984126984
Fib,OMD,4,7.3849486213294115,2.8428223709769473,1,0.07127019084915576,0.23201856148491878
Fib,FAM107A,1,0.8665156732155391,2.8144410491983494,0,0.006585098732963755,0.1865671641791045
Fib,IL11RA,1,0.8665156732155405,2.8144410491983485,0,0.006585098732963755,0.1865671641791045
Fib,PRELP,6,10.053022851710493,2.787494555071442,0.4666666666666667,0.0820302781473008,0.2331002331002331
Fib,HMCN2,1,1.0060596683179137,2.7539127740599487,0,0.004275477667917073,0.1937984496124031
Fib,AOX1,3,4.890669059652371,2.722819753824713,0.6666666666666666,0.0114873841111763,0.20920502092050208
Fib,GSTM5,2,3.2381430802921765,2.6348237210390857,0,0.009288436765546682,0.20833333333333334
Fib,MAOB,4,6.211213506619777,2.591718264655752,0.3333333333333333,0.013453167586192772,0.20964360587002095
Fib,NOVA1,1,0.6952089969386012,2.5861304787501393,0,0.016186223446853852,0.2145922746781116
Fib,HAPLN1,3,5.419096228705498,2.5710432326060526,0.6666666666666666,0.0631823249649961,0.25
Fib,SEMA3D,2,1.917138372330173,2.5561520394486417,1,0.032550734420463946,0.21551724137931033
Fib,PAMR1,1,0.5535618837857035,2.5541869056458295,0,0.006404338241609797,0.18587360594795538
Fib,MAMDC2,2,1.7242781529536102,2.5407129681291774,0,0.0041348025640604155,0.1890359168241966
Fib,CLDN11,1,0.5988979471573206,2.517496304571494,0,0.004786910818014684,0.1949317738791423
Fib,SEMA3B,2,1.9560240014054167,2.491831939476942,1,0.023950283402991556,0.21978021978021978
Fib,DPT,6,12.229679934095266,2.482819414503211,0.4666666666666667,0.0903223141174784,0.2347417840375587
Fib,ADD3,1,0.6791813228844236,2.446507850653791,0,0.002191611227149821,0.17793594306049823
Fib,CILP,8,16.54257629384664,2.4295812178766965,0.4642857142857143,0.13013240488878153,0.2724795640326976
Fib,MFAP5,5,9.07177332515629,2.3970704333094215,0.4,0.0828599573227023,0.2617801047120419
Fib,PDK4,2,2.6082852223666553,2.3406426552987734,0,0.013992453681616434,0.21645021645021645
Fib,ANGPTL1,1,0.975684211549554,2.331012640187443,0,0.02182840865755852,0.22172949002217296
Fib,SRPX,1,0.6272039464666684,2.260797297050578,0,0.024114846109900667,0.21008403361344538
Fib,LIFR,3,2.6982241560050575,2.183231520978024,0,0.040287657183906804,0.2288329519450801
